Start time UTC,End time UTC,Electricity consumption (MWh)
2015-12-31 21:00:00,2015-12-31 22:00:00,10800
2015-12-31 22:00:00,2015-12-31 23:00:00,10431
2015-12-31 23:00:00,2016-01-01 00:00:00,10005
2016-01-01 00:00:00,2016-01-01 01:00:00,9722
2016-01-01 01:00:00,2016-01-01 02:00:00,9599
2016-01-01 02:00:00,2016-01-01 03:00:00,9524
2016-01-01 03:00:00,2016-01-01 04:00:00,9601
2016-01-01 04:00:00,2016-01-01 05:00:00,9793
2016-01-01 05:00:00,2016-01-01 06:00:00,9815
2016-01-01 06:00:00,2016-01-01 07:00:00,9998
2016-01-01 07:00:00,2016-01-01 08:00:00,10035
2016-01-01 08:00:00,2016-01-01 09:00:00,10098
2016-01-01 09:00:00,2016-01-01 10:00:00,10345
2016-01-01 10:00:00,2016-01-01 11:00:00,10478
2016-01-01 11:00:00,2016-01-01 12:00:00,10551
2016-01-01 12:00:00,2016-01-01 13:00:00,10646
2016-01-01 13:00:00,2016-01-01 14:00:00,11104
2016-01-01 14:00:00,2016-01-01 15:00:00,11463
2016-01-01 15:00:00,2016-01-01 16:00:00,11494
2016-01-01 16:00:00,2016-01-01 17:00:00,11518
2016-01-01 17:00:00,2016-01-01 18:00:00,11594
2016-01-01 18:00:00,2016-01-01 19:00:00,11412
2016-01-01 19:00:00,2016-01-01 20:00:00,11076
2016-01-01 20:00:00,2016-01-01 21:00:00,11271
2016-01-01 21:00:00,2016-01-01 22:00:00,11167
2016-01-01 22:00:00,2016-01-01 23:00:00,10709
2016-01-01 23:00:00,2016-01-02 00:00:00,10370
2016-01-02 00:00:00,2016-01-02 01:00:00,10136
2016-01-02 01:00:00,2016-01-02 02:00:00,10036
2016-01-02 02:00:00,2016-01-02 03:00:00,10074
2016-01-02 03:00:00,2016-01-02 04:00:00,10131
2016-01-02 04:00:00,2016-01-02 05:00:00,10442
2016-01-02 05:00:00,2016-01-02 06:00:00,10522
2016-01-02 06:00:00,2016-01-02 07:00:00,10926
2016-01-02 07:00:00,2016-01-02 08:00:00,11100
2016-01-02 08:00:00,2016-01-02 09:00:00,11237
2016-01-02 09:00:00,2016-01-02 10:00:00,11315
2016-01-02 10:00:00,2016-01-02 11:00:00,11353
2016-01-02 11:00:00,2016-01-02 12:00:00,11361
2016-01-02 12:00:00,2016-01-02 13:00:00,11437
2016-01-02 13:00:00,2016-01-02 14:00:00,11717
2016-01-02 14:00:00,2016-01-02 15:00:00,12224
2016-01-02 15:00:00,2016-01-02 16:00:00,12450
2016-01-02 16:00:00,2016-01-02 17:00:00,12355
2016-01-02 17:00:00,2016-01-02 18:00:00,12247
2016-01-02 18:00:00,2016-01-02 19:00:00,11984
2016-01-02 19:00:00,2016-01-02 20:00:00,11728
2016-01-02 20:00:00,2016-01-02 21:00:00,11784
2016-01-02 21:00:00,2016-01-02 22:00:00,11717
2016-01-02 22:00:00,2016-01-02 23:00:00,11267
2016-01-02 23:00:00,2016-01-03 00:00:00,10925
2016-01-03 00:00:00,2016-01-03 01:00:00,10655
2016-01-03 01:00:00,2016-01-03 02:00:00,10486
2016-01-03 02:00:00,2016-01-03 03:00:00,10432
2016-01-03 03:00:00,2016-01-03 04:00:00,10498
2016-01-03 04:00:00,2016-01-03 05:00:00,10609
2016-01-03 05:00:00,2016-01-03 06:00:00,10603
2016-01-03 06:00:00,2016-01-03 07:00:00,10818
2016-01-03 07:00:00,2016-01-03 08:00:00,10905
2016-01-03 08:00:00,2016-01-03 09:00:00,11006
2016-01-03 09:00:00,2016-01-03 10:00:00,11215
2016-01-03 10:00:00,2016-01-03 11:00:00,11307
2016-01-03 11:00:00,2016-01-03 12:00:00,11280
2016-01-03 12:00:00,2016-01-03 13:00:00,11287
2016-01-03 13:00:00,2016-01-03 14:00:00,11558
2016-01-03 14:00:00,2016-01-03 15:00:00,11894
2016-01-03 15:00:00,2016-01-03 16:00:00,11984
2016-01-03 16:00:00,2016-01-03 17:00:00,11990
2016-01-03 17:00:00,2016-01-03 18:00:00,11943
2016-01-03 18:00:00,2016-01-03 19:00:00,11756
2016-01-03 19:00:00,2016-01-03 20:00:00,11475
2016-01-03 20:00:00,2016-01-03 21:00:00,11721
2016-01-03 21:00:00,2016-01-03 22:00:00,11626
